emp_no,first_name,last_name,dept_name
246449,Subbu,Bultermann,Sales
205246,Nevio,Demizu,Sales
476443,Ziya,Asmuth,Sales
424270,Kellyn,Yoshizawa,Sales
211383,Uli,Candan,Sales
280408,Elliott,Perl,Sales
496429,Takanari,Luders,Sales
219797,Neelam,Demeyer,Sales
426193,Huiqun,Rattan,Sales
289261,Gad,Nollmann,Sales
444985,Giap,Verspoor,Sales
78524,Zhiwei,Bahk,Sales
494351,Boriana,Maginnis,Sales
36372,Ronghao,Conta,Sales
279559,Jasminko,Cronan,Sales
421244,Ortrun,Ladret,Sales
470413,Uzi,Poehlman,Sales
13503,Renee,Milicia,Sales
476968,Shaleah,Wallrath,Sales
477628,Duro,Beutelspacher,Sales
42625,Harngdar,Swick,Sales
453362,Yucel,Parascandalo,Sales
85093,Nectarios,Covnot,Sales
205366,Kazuhira,Shimshoni,Sales
37601,Gilbert,Naumovich,Sales
282829,Kiyokazu,Weisert,Sales
52254,Yuguang,Nations,Sales
57730,Shuichi,Leijenhorst,Sales
437985,Reuven,Munke,Sales
414400,Stella,Dayang,Sales
28823,Tonny,Skafidas,Sales
107258,Parviz,Zaumen,Sales
11980,Yechezkel,Pews,Sales
293092,Baocai,Kroha,Sales
457800,Stabislas,Domenig,Sales
472397,Danco,Matzel,Sales
414537,Chikara,Businaro,Sales
414885,Candido,Vecchi,Sales
217945,Shmuel,Georg,Sales
109600,Xuejun,Chvatal,Sales
283440,Leen,Krichel,Sales
279661,Xiadong,Bach,Sales
268566,Panayotis,Parveen,Sales
53312,Quingbo,Lagarias,Sales
93255,Mihalis,Wegerle,Sales
210276,Nidapan,Braunmuhl,Sales
15143,Chiradeep,Krupka,Sales
244316,Khun,Kuszyk,Sales
262519,Jamaludin,Knightly,Sales
488918,Tamiya,Munos,Sales
255456,Aleksandar,Tibblin,Sales
451322,Gadiel,Journel,Sales
246948,Leaf,Przulj,Sales
404690,Hidde,Morton,Sales
251732,Junsik,Fortenbacher,Sales
421718,Mantis,Shumilov,Sales
285589,Uta,Frolund,Sales
66872,Herbert,Itschner,Sales
205312,Arco,Matzat,Sales
411700,Otmar,Yoshimura,Sales
469432,Arlette,Reeker,Sales
430657,Guadalupe,Kroha,Sales
433062,Kiam,Erman,Sales
418656,Aluzio,Egerstedt,Sales
432752,Huai,Birrer,Sales
451811,Nalini,Rabehasaina,Sales
439346,Kellyn,Takanami,Sales
238234,Bernice,Murtha,Sales
71064,Kokou,Genther,Sales
